Location,Year,Value,Percent
Wisconsin,1980,25,
Wisconsin,1976,21,
Wyoming,2020,0,
Wyoming,2015,3,
Wyoming,2010,1,
Wyoming,2005,5,
Wyoming,2000,1,
Wyoming,1995,1,
Wyoming,1990,2,
Wyoming,1985,1,
Wyoming,1980,1,
Wyoming,1976,1,
International,2020,727,7.70
International,2015,622,6.77
International,2010,336,3.69
International,2005,253,2.81
International,2000,260,2.91
International,1995,374,4.06
International,1990,303,2.97
International,1985,234,2.20
International,1980,172,1.60
International,1976,108,1.09
